מועדי א' סמסטר ב'  26/6/22 עד 24/7/22   מועדי ב' 28/7/22 עד 18/8/22,,,,,"בתאריכים 10/7, 17/7 7/8 לא יתקיימו בחינות ",,,,
מס' חוג,שם חוג,שם קורס,מספר קורס,סמסטר,הערות ,מועדי א'   ,מועדי ב'  ,סיבה לשינויי,הסבר לדחיית או קבלת ההערה
511,פיסיקה יישומית,חשמל ומגנטיות לתלמידי הנדסה,83313,ב',,19.7.22,14.8.22,,
511,פיסיקה יישומית,מבוא לקוונטים למהנדסים,83326,ב',,7/11/2022,8/8/2022,,
511,פיסיקה יישומית,מבוא לאלקטרוניקה אנלוגית וספרתית,83328,ב',,7/18/2022,8/12/2022,,
511,פיסיקה יישומית,אפיון חומרים,83517,ב',,7/14/2022,,,
511,פיסיקה יישומית,אופטיקה קוונטית,83836,ב',,7/22/2022,,,
511,פיסיקה יישומית,תקשורת אופטית,83839,ב',בחירה ,6/26/2022,7/28/2022,,
511,פיסיקה יישומית,מבוא לאופטואלקטרוניקה,83879,ב',,7/13/2022,8/19/2022,,
511,פיסיקה יישומית,תורת הקוונטים בפיסיקה יישומית,83880,ב',,7/21/2022,8/16/2022,,
,פיסיקה יישומית,התקנים ננו פוטוניים,83886,ב',,7/6/2022,8/14/2022,,
,פיסיקה יישומית,גלים אלקטרו מגנטיים ואנטנטות,83888,ב',,18.7.22,19.8.22,,
511,פיסיקה יישומית,אופטואלקטרוניקה מתקדמת,83910,ב',מוסמך,7/13/2022,8/10/2022,,
520,תכנית תלפיות,טכנולוגיות לוחמה בעידן המידע לחניכי תלפיות,79617,ב',,6/26/2022,,,
521,מדעי המחשב,מבוא למדעי המחשב ,67101,א' או ב',לא לנגש עם 67312 ו 67315,6/26/2022,7/29/2022,,
521,מדעי המחשב,רשתות נוירונים לתמונות,67103,ב',,6/29/2022,7/24/2022,,
521,מדעי המחשב,מבני נתונים,67109,א' או ב',,6.7.22,10.8.22,,
521,מדעי המחשב,סדנא בקוד פתוח,67118,ב',,7/7/2022,7/29/2022,,
521,מדעי המחשב,גרף שווה אלף מספרים,67140,ב',,7/7/2022,8/5/2022,,
521,מדעי המחשב,מבנה המחשב,67200,ב',,7/22/2022,8/19/2022,,
521,מדעי המחשב,סדנת תכנות בשפות C ו- ++C,67315,,לא לנגש עם 67312 ו 67315,6/29/2022,7/31/2022,,
521,מדעי המחשב,מבוא להצפנה ואבטחת מידע ,67392,ב',,7/1/2022,8/4/2022,,
521,מדעי המחשב,אלגוריתמים,67504,א' או ב',,7/13/2022,10.8.22,,
521,מדעי המחשב,מסדי נתונים,67506,,,6/27/2022,8/2/2022,,
521,מדעי המחשב,מטבעות קריטוגרפיים ,67513,ב',,7/22/2022,8/19/2022,,
521,מדעי המחשב,"מודלים חישוביים, חישוביות וסיבוכיות ",67521,ב',,7/13/2022,8/12/2022,,
,,מבוא למערכות לומדות ,67577,ב',,7/7/2022,8/5/2022,,
521,מדעי המחשב,מבוא לעיבוד אותות,67651,ב',,7/4/2022,7/27/2022,,
521,מדעי המחשב,חשבון דיפרנציאלי ואינטגרלי במדעי המחשב,67559,ב',"חובה שנה ב'', לא לנגש עם 80135,80430,67504,67808",7/5/2022,8/4/2022,לבקתש החוג,
521,מדעי המחשב,שיטות סטטיסטיות בהנדסה ומדעי המחשב,67653,ב',,7/18/2022,8/15/2022,,
521,מדעי המחשב,צילום חישובי,67735,ב',,7/5/2022,8/14/2022,,
521,מדעי המחשב,שיטות הסתברותיות בבינה מלאכותית,67800,ב',,7/6/2022,7/29/2022,,
521,מדעי המחשב,מערכות הפעלה,67808,ב',,6/30/2022,7/31/2022,,
521,מדעי המחשב,אימות פורמלי של מערכות ראקטיביות,67883,א',,7/6/2022,7/29/2022,,
521,מדעי המחשב,למידה עמוקה שימושית,67912,ב',בחירה מוסמך ,7/18/2022,8/5/2022,,
529,הוראת התכנות,תכנות מתמטי ב MATLAB למדעי כדור הארץ,76628,ב',,6/27/2022,8/2/2022,,
529,הוראת התכנות,תכנות מתמטי במאטלב לכימיה,76629,א' או ב',,6/26/2022,2.8.22,,
529,הוראת התכנות,תכנות מתקדם בפייתון ,76632,ב',,6/30/2022,7/28/2022,,
529,הוראת התכנות,תכנות בשפת פייתון,76637,ב',,7/1/2022,8/15/2022,,
529,הוראת התכנות,תכנות פייתון ומטלאב,76641,קורס שנתי,,26/06/2022,28/07/2022,,
529,הוראת התכנות,יישומי מחשב ברוקחות,76680,,,,8/8/2022,,
530,מתמטיקה,"מבוא מתמטי לתלמידי כימיה וכדה""א (2)",80112,ב',,8.7.22,31.7.22,,
530,מתמטיקה,תורת המספרים האלמנטרית,80115,ב',,7/3/2022,8/8/2022,,
530,מתמטיקה,אנליזה אלמנטרית רב-מימדית,80116,א' או ב',,6/28/2022,8/1/2022,,
530,מתמטיקה,מתמטיקה למדעים 2,80127,ב',,7/11/2022,1.8.22,,
530,מתמטיקה,חשבון אינפיניטסימלי (1),80131,א' או ב',,07/12/2022,8/5/2022,לבקשת החוג למתמטיקה,
530,מתמטיקה,חשבון אינפיניטסימלי (2),80132,א' או ב',,07/12/2022,8/5/2022,לבקשת החוג למתמטיקה,
530,מתמטיקה,אלגברה ליניארית (1),80134,א' או ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,אלגברה ליניארית (2),80135,א' או ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי 2 (מורחב),80142,ב',,7/25/2022,8/18/2022,,
530,מתמטיקה,אלגברה ליניארית לתלמידי הנדסה ומדעים 2,80154,ב',,7/25/2022,8/19/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי לפיסיקאים,80155,ב',מועדים זהים ל 80177,11.7.22,8.8.22,,
530,מתמטיקה,מתמטיקה שימושית (2),80157,ב',,3.7.22,3.8.22,,
530,מתמטיקה,חשבון אינפיניטסימלי לתלמידי הנדסה ומדעים,80177,ב',מועדים זהים ל 80155,11.7.22,8.8.22,,
530,מתמטיקה,מתמטיקה דיסקרטית,80181,א' או ב',,07/19/2022,11/8/2022,,
530,מתמטיקה,תורת הקבוצות,80200,ב',,7/8/2022,7/29/2022,,
530,מתמטיקה,אנליזה נומרית,80301,ב',,6/26/2022,7/24/2022,,
530,מתמטיקה,פונקציות מרוכבות ושימושיהן,80314,ב',,27/06/2022,02/08/2022,,
530,מתמטיקה,משוואות דיפרנציאליות ,80320,ב',,7/18/2022,8/16/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי 3,80415,א' או ב',,7/21/2022,8/19/2022,,
530,מתמטיקה,אנליזה על יריעות,80426,ב',,21.7.22,19.8.22,,
530,מתמטיקה,אנזליה פונקציונלית,80427,ב',,15.7.22,15.8.22,,
530,מתמטיקה,תורת המשחקים (1),80428,ב',,7/13/2022,8/12/2022,לבקשת חוג מתמטיקה,
530,מתמטיקה,מבוא להסתברות וסטטיסטיקה,80430,א' או ב',,07/19/2022,08/14/2022,,
530,מתמטיקה,מבנים אלגבריים (1),80445,א' או ב',,3.7.22,7/25/2022,,
530,מתמטיקה,מבנים אלגבריים (2),80446,ב',,3.7.22,7/25/2022,,
530,מתמטיקה,מבוא לטופולוגיה,80516,ב',,6/29/2022,8/3/2022,,
530,מתמטיקה,קומבינטוריקה,80520,ב',,7/19/2022,8/18/2022,,
530,מתמטיקה,מושגי יסוד בתורת ההצגות,80598,ב',,7/4/2022,7/25/2022,,
530,מתמטיקה,מושגי יסוד באנליזה ספקטרלית,80601,ב',,7/21/2022,8/19/2022,,
530,מתמטיקה,מבוא לתהליכים מקריים,80737,ב',,7/1/2022,7/27/2022,,
530,מתמטיקה,אלגבראות לי,80869,ב',,7/18/2022,8/19/2022,,
541,פיסיקה,שיטות חישוביות בפיסיקה רב גופית,77082,ב',,7/4/2022,08/08/2022,,
541,פיסיקה,מכניקה ויחסות פרטית,77101,א' או ב',,20.7.22,15.8.22,,
541,פיסיקה,חשמל ומגנטיות,77102,ב',,7/20/2022,15/8/2022,,
541,פיסיקה,"פיסיקה כללית - גלים וחשמל לתלמידי כימיה וכדה""א",77131,ב',,7/14/2022,8/10/2022,,
541,פיסיקה,"חשמל, מגנטיות וגלים למדעים",77134,ב',,,,,
541,פיסיקה,פיסיקה תרמית,77152,ב',חובה בוגר ,7/22/2022,8/19/2022,,
541,פיסיקה,רעיונות יסוד בפיסיקה מודרנית,77153,ב',,6/29/2022,8/9/2022,,
541,פיסיקה,תורת הקוונטים (1),77318,ב',,7/18/2022,8/14/2022,"לא יכולנו להיענות לבקשת החוג להחליף עם חשמל אנליטי בגלל התנגשות עם קורסי חובה במתמטיקה של שנה ב; כמו""כ, לא יכולנו להחליף עם ""כימיה כללית לתלמידי פיזיקה"" (או להקדים שבוע אחורה) בגלל התנגשות עם ""מבני נתונים"" (קורס חובה לחטיבה במדעי המחשב)",
541,פיסיקה,חשמל אנליטי,77401,ב',,7/5/2022,7/28/2022,,
541,פיסיקה,תורת הקוונטים (3),77542,ב',,6/28/2022,7/25/2022,,
541,פיסיקה,פיסיקה של המצב המוצק,77602,ב',,7/18/2022,8/14/2022,,
541,פיסיקה,פיסיקה גרעינית,77603,ב',בחירה בוגר,7/11/2022,8/1/2022,,
541,פיסיקה,תורת הרצף,77606,ב',,14/07/2022,17/08/2022,,
541,פיסיקה,מבוא לחלקיקים אלמנטריים,77609,ב',,07/07/2022,8/10/2022,,
541,פיסיקה,ביופיסיקה,77662,ב',,6/26/2022,7/26/2022,,
541,פיסיקה,אופטיקה פיסיקלית,77693,ב',,1.7.22,4.8.22,,
541,פיסיקה,דינמיקה לא לינארית של רצף,77728,ב',,12/07/2022,03/08/2022,,
541,פיסיקה,מכניקה סטטיסטית א,77802,ב',,15/07/2022,16/08/2022,,
542,פיסיקה,,77981,,,13/07/2022,12/08/2022,,
543,פיסיקה,,77951,,,03/07/2022,31/07/2022,,
541,פיסיקה,מצב מעובה ב: תופעות קולקטיביות,77961,ב',,08/07/2022,8/9/2022,,
541,פיסיקה,פיסיקת הפלסמה: תופעות קולקטיביות,77962,ב',,19/07/2022,18/08/2022,,
545,מדעי האטמוספירה,מערכות מזג אוויר ברחבים הבינוניים,82304,ב',חובה בוגר ,,,,
545,מדעי האטמוספירה,מעברי קרינה באטמוספירה,82309,ב',,12.7.22,8/5/2022,,
545,מדעי האטמוספירה,מדע התחממות גלובלית,82508,ב',,7/20/2022,10.8.22,,
545,מדעי האטמוספירה,מבוא למטאורולוגיה טרופית  ,82515,ב',,7/3/2022,8/8/2022,,
545,מדעי האטמוספירה,שיטות אובייקטיביות של ניתוח נתונים במדעי כדור הארץ,82653,ב',,7/21/2022,8/15/2022,,
545,מדעי האטמוספירה,כימיה אטמוספירית,82657,ב',,7/4/2022,7/25/2022,,
545,מדעי האטמוספירה,פיסיקת העננים והגשם,82814,ב',חובה בוגר ,7/29/2022,5.8.22,,
545,מדעי האטמוספירה,סמינריון לתלמידי מוסמך במדעי האטמוספרה ואוקיינוגרפיה 2,82853,ב',חובה מוסמך,,,,
545,מדעי האטמוספירה,מושגי יסוד במכניקה של זורמים ליישומים במדעי כדור הארץ,82856,ב',חובה בוגר ,,,,
545,מדעי האטמוספירה,"שיטות סטטיסטיות ליישומים במדעי כדוה""א",82858,ב',,7/18/2022,8/15/2022,,
560,כימיה,כימיה פיסיקלית לתלמידי מדעים ביורפואיים,69101,ב',,,8/4/2022,,
560,כימיה,כימיה אנליטית א',69106,ב',,5.7.22,8/3/2022,,
560,כימיה,כימיה פיסיקלית לתלמידי ביולוגיה,69123,ב',,27.6.22,5/8/2022,לבקשת ביובית,
560,כימיה,כימיה אורגנית א',69128,ב',,7/22/2022,18.8.22,,
560,כימיה,יסודות תהודה מגנטית גרעינית,69149,ב',בחירה מוסמך ,7/13/2022,8/17/2022,,
560,כימיה,כימיה פיסיקלית א',69163,ב',,6/29/2022,7/26/2022,"לא שונה, שינוי פוגע בשילובים הגדולים",
560,כימיה,כימיה אורגנית לתלמידי ביולוגיה,69166,ב',,19.7.22,8/14/2022,לבקשת ביוביות,
560,כימיה,"כימיה פיסיקלית לתלמידי רוקחות ומדכה""א",69167,ב',,7/21/2022,8/17/2022,,
560,כימיה,ננו טכנולוגיה בשירות האדם,69199,ב',,,8/12/2022,,
560,כימיה,מבוא לקשר כימי,69311,ב',,7/18/2022,8/16/2022,,
560,כימיה,כימיה כללית לתלמידי פיסיקה,69322,ב',,7/12/2022,8/9/2022,,
560,כימיה,אלקטרוכימיה,69503,ב',,7/14/2022,8/11/2022,,
560,כימיה,דיפוסיה ותהליכים סטוכסטיים בכימיה וביולוגיה,69506,ב',,7/21/2022,8/14/2022,,
560,כימיה,ספקטרומטרית מסות בכימיה וביוכימיה אנליטית,69521,ב',בחירה מוסמך ,7/20/2022,8/10/2022,,
560,כימיה,מבוא לכימיה של חומרים,69522,ב',,7/7/2022,4.8.22,,
560,כימיה,כימיה ביולוגית של חומרים,69617,ב',,7/18/2022,8/8/2022,,
560,כימיה,פענוח מבנה מולקולרי בעזרת ספקטרה,69639,ב',,6/29/2022,4/8/2022,,
560,כימיה,כימיה אורגנית ג,69667,ב',,6/30/2022,7/28/2022,,
,,,69708,,,6/27/2022,7/24/2022,,
560,כימיה,קטליזה,69800,ב',,5.7.22,7/26/2022,,
560,כימיה,מבנה ופיזור קרני איקס,69829,ב',,3.7.22,1.8.22,,
560,כימיה,נושאים נבחרים בכימיה של חומרים,69993,ב',חובה מוסמך ,7/7/2022,3.8.22,,
570,מדעי החיים,מבוא לפיסיקה לתלמידי ביולוגיה חישובית,72154,ב',,7/1/2022,7/28/2022,,
570,מדעי החיים,מבוא לגנטיקה,72155,ב',,4.7.22,28/07/2022,לבקשת ביובית,
570,מדעי החיים,מבוא לגנטיקה (מצומצם),72156,ב',,4.7.22,5.8.22,,
570,מדעי החיים,מבוא להסתברות וסטטיסטיקה,72301,ב',,14.7.22,9.8.22,,
570,מדעי החיים,ביולוגיה התפתחותית: מתא בודד לעובר ולאורגניזם,72320,ב',,11.7.22,8/16/2022,,
570,מדעי החיים,ביולוגיה מולקולרית,72332,ב',,1.7.22,31.7.22,,
570,מדעי החיים,ביוכימיה מורחב,72339,ב',,22.7.22,5.8.22,,
570,מדעי החיים,ביולוגיה של התפתחות עוברית,72340,ב',,7/21/2022,8/15/2022,,
570,מדעי החיים,מיקרוביולוגיה מורחב,72342,ב',,4.7.22,12.8.22,,
570,מדעי החיים,פיזיולוגיה של מערכת העצבים,72343,ב',,18.7.22,1.8.22,,
570,מדעי החיים,גנטיקה מורחב ,72345,ב',,7/15/2022,8/8/2022,,
570,מדעי החיים,מעבדה במדעי המח וההתנהגות לתלמידי פסיכוביולוגיה,72349,ב',חובה בוגר ,,,,
570,מדעי החיים,מבוא לאבולוציה ,72368,ב',,8.7.22,11.8.22,,
570,מדעי החיים,נוירוביולוגיה ומדעי המח,72369,ב',,7/24/2022,8/18/2022,,
570,מדעי החיים,אקולוגיה מיקרוביאלית,72501,ב',בחירה בוגר ,,,,
570,מדעי החיים,אקולוגיה מורחב,72604,ב',,7/17/2022,8/17/2022,,
570,מדעי החיים,ביולוגיה מולקולרית של תאים אנימליים,72651,ב',,7/12/2022,3.8.22,,
570,מדעי החיים ,גנטיקה של אוכוליסיות,72659,ב',חדש. בחירה שנה ג' ,13.7.22,9.8.22,,
570,מדעי החיים,ביולוגיה של הסרטן,72941,ב',,6.7.22,10.8.22,,
573,ביולוגיה תאית והתפתחותית,אבולוציה והתפתחות (evo-devo),90708,ב',,,8/11/2022,,
576,,תהליכי ראייה וקוגניציה במוח ,78868,ב',מוסמך ובוגר שנה ג' בחירה ,,,,
579,"אקולוגיה, אבולוציה והתנהגות",אבולוציה של עולם החי,90106,ב',,7/8/2022,8/14/2022,,
579,"אקולוגיה, אבולוציה והתנהגות","אבולוציה, ססטמטיקה ואקולוגיה של עכבישים",90889,ב',,7/14/2022,8/9/2022,,
582,ביו-הנדסה,מכאנוביולוגיה,76122,ב',חובה מוסמך ,,,,
590,גיאולוגיה,מבוא לגאוכימיה,70311,ב',,,,,
590,גיאולוגיה,פטרולוגיה סדימנטרית,70315,ב',,7/3/2022,8/10/2022,,
590,גיאולוגיה,סיור נגב צפוני,70326,ב',חובה בוגר ,,,,
590,גיאולוגיה,סיור כרמל,70328,ב',בחירה בוגר ,,,,
590,גיאולוגיה,מחדר מלח הר סדום: גאולוגיה ומורפולוגיה,70332,ב',בחירה מוסמך ,,,,
590,גיאולוגיה,מבוא לסטרטיגרפיה,70365,ב',,6/30/2022,8/1/2022,,
590,גיאולוגיה,מדעי הקרקע,70525,ב',,7/7/2022,8/11/2022,,
590,גיאולוגיה,טקטוניקה של כדור הארץ,70603,ב',חובה בוגר ,,,,
590,גיאולוגיה,מעבדה בפטרולוגיה סדימנטרית,70650,ב',,6/26/2022,7/28/2022,,
590,גיאולוגיה,מבוא לגאופיסיקה,70701,ב',,7/12/2022,8/9/2022,,
590,גיאולוגיה,סיור הרי יהודה,70721,ב',בחירה בוגר ,,,,
590,גיאולוגיה,הידרולוגיה של מי תהום,70910,ב',,7/15/2022,8/8/2022,,
590,גיאולוגיה,מבוא לסייסמולוגיה,70920,ב',,7/7/2022,7/28/2022,,
591,מדעי הסביבה,מחנה לימודי לים המלח,89400,ב',,7/4/2022,,,
591,מדעי הסביבה,מחזורים ביוגאוכימים ומערכת האקלים,89703,ב',,6/27/2022,7/28/2022,,
592,אוקיינוגרפיה,אוקיינוגרפיה פיסיקלית,84831,ב',,,,,
592,אוקיינוגרפיה,מחנה לימודי גיאולוגיה ,84840,ב',,6/26/2022,,,
592,אוקיינוגרפיה,נושאים מתקדמים בגלי ים,84891,ב',בחירה מוסמך,,,,
592,אוקיינוגרפיה,פליאוקיינוגרפיה,84895,ב',בחירה מוסמך,,,,
595,מדעי כדור הארץ,מבוא למיפוי גאולוגי,68128,ב',חובה בוגר ,,,,
595,מדעי כדור הארץ,גאולוגיה בנגב,68140,ב',,,,,
890,ביוטכנולוגיה,פיתוח מוצרי פרמה וביוטכנולוגיה בהתאמה לדרישות הרגולציה בתעשיית הביומד,71174,ב',,7/7/2022,8/14/2022,,
890,ביוטכנולוגיה,ביוטכנולוגיה בחקלאות,73534,ב',,7/14/2022,8/4/2022,,
,,"רגרסיה ומודלים ליניאריים למדמ""ח",52307,ב',,7/27/2022,8/16/2022,,
,,"רסתברות לסט' למדמ""ח ",52006,ב',,7/20/2022,8/19/2022,,