מכניקה ויחסות פרטית לתלמידי הנדסה,83312
מבוא למצב מוצק לתלמידי הנדסה,83320
גלים ויסודות פיסיקה א,83325
מבוא להנדסת חשמל,83335
תכן VLSI,83413
פיסיקה של גלים מונחים,83510
תכן לוגי מתקדם,83511
מאלגברה לינארית לאייפון (א'): הנדסת חשמל ומערכות מעקרונות ראשוניים,83536
התקנים של מוליכים למחצה,83812
נושאים נבחרים בלייזרים,83860
פיסיקה של התקני מוליכים למחצה,83882
פיסיקה תרמית וסטטיסטית,83911
 מבוא למדעי המחשב,67101
מבני נתונים,67109
מבוא לתכנות מונחה עצמים,67125
סדנת תכנות בשפות C ו- ++C,67312
מבוא ללוגיקה מתמטית לבעלי אוריינטציה תכנותית,67501
אלגוריתמים,67504
"מודלים חישוביים, חישוביות וסיבוכיות ",67521
,67528
דיני סייבר,67398
,67548
מבוא לאינפורמציה והסקה ,67584
למידה חישובית בייזיאנית,67564
פתרון בעיות באלגוריתמים,67573
מבוא לרשתות תקשורת,67594
גרפיקה ממוחשבת,67609
סדנת מבוא לרובוטיקה,67654
עיבוד שפה טבעית ,67658
עבוד תמונות רפואיות רובוטיקה רפואית וניתוחים מונחי מחשב,67705
מבוא ללמידה עמוקה ,67822
כלים מתמטיים במדעי המחשב,67865
נושאים בקריטוגרפיה ,67892
סדנה במערכות חישוב מ-NAND ל-TETRIS,67925
תכנות מתמטי במאטלב לכימיה,76629
תכנות בסיסי בפייתון ,76631
פייתון למדעי כדור הארץ,76634
פייתון למדעים ביו-רפואיים,76638
תכנות פייתון ומטלאב,76641
מבני נתונים ומבוא לאלגוריתמים,76689
נקודת ראות מתקדמת על מושגים מתמטיים מהתיכון,80091
נקודת ראות מתקדמת על מושגים מתמטיים מהתיכון,80100
"מתמטיקה לתלמידי כימיה וכדה""א (1)",80109
מתמטיקה שימושית (1),80114
אנליזה אלמנטרית רב-מימדית,80116
מתמטיקה למדעים 1,80125
חשבון אינפיניטסימלי (1),80131
חשבון אינפיניטסימלי (2),80132
אלגברה ליניארית (1),80134
אלגברה ליניארית (2),80135
אלגברה ליניארית לתלמידי הנדסה ומדעים 1,80153
מתמטיקה דיסקרטית,80181
מתמטיקה בחברה,80309
הסתברות ושימושיה,80312
אלגברה לכימאים,80325
תולדות המתמטיקה,80402
קורס השלמה בחשבון אינפינטסימלי מתקדם 1 ,80414
חשבון אינפיניטסימלי 3,80415
תורת ההסתברות (1),80420
מבוא ללוגיקה,80423
מבוא להסתברות וסטטיסטיקה,80430
קומבינטוריקה,80520
מבנים אלגבריים (1),80445
,80301
תורת המידה,80517
פונקציות מרוכבות,80519
מושגי יסוד באלגברה קומוטטיבית וגיאומטריה אלגברית,80599
מושגי יסוד באנליזה פונקציונלית,80600
תורת הקטגוריות ,80779
מבוא למדעי הטבע,77098
מכניקה ויחסות פרטית,77101
"פיסיקה כללית - מכניקה לתלמידי כימיה וכדה""א",77130
מכניקה וזורמים למדעים,77133
"מכניקה וזורמים לתלמידי רפואה ורפו""ש",77141
"חשמל וגלים לתלמידי רפואה ורפו""ש",77142
מכניקה אנליטית,77303
גלים ואופטיקה,77305
מבוא לפיסיקה סטטיסטית,77307
משוואות של פיסיקה מתמטית,77313
מבוא לאלקטרוניקה א - אנלוגי,77320
אסטרופיסיקה וקוסמולוגיה,77501
חישוב קוונטי לפיסיקאים,77523
תורת הקוונטים (2),77605
מבוא לפיזיקה לא לינארית,77607
,77324
,77611
תורת הקוונטים מתקדם א,77800
יחסות וגרביטציה,77909
מצב מעובה א - אלקטרונים ופונונים בסריג מחזורי,77960
מבוא לתורת החבורות בפיסיקה,77990
מעברי פזה ותופעות קריטיות,77991
דינמיקה של אטמוספרה,82301
תרומדינמיקה של האטמוספירה והאוקיאנוסים,82314
עקרונות חישה מרחוק של אטמוסיפירה,82850
"קלימטולוגיה סינופטית של מזה""ת וישראל",82892
מבוא לכימיה,69107
כימיה אורגנית לתלמידי מדעים ביורפואיים,69118
"כימיה אורגנית לתלמידי רפואה, רפואת - צמרת, רפואת שיניים",69120
כימיה כללית למדעים ביורפואיים ולכדור הארץ,69132
"כימיה כללית לתלמידי רפואה, רפואה - צמרת, רפואת שיניים",69134
מבוא לכימיה לתלמידי רוקחות ,69135
כימיה פיסיקלית ב' - תרמודינמיקה א,69301
כימיה אי אורגנית,69303
כימיה אורגנית ב',69306
כימיה פיסיקלית ג,69601
עקרונות של כימיה ירוקה,69625
"תגובות, מנגנונים ומבנה בכימיה אורגנית",69671
כימיה פיסיקלית של ננו-חומרים,69674
קטליזה הומוגנית באמצעות קומפלכסים של מתכות המעבר,69897
מבוא להסתברות וסטטיסטיקה לתלמידי כימיה,69904
מבוא לספקטרוסקופיה,69922
מבוא לאקולוגיה,72107
ביוכימיה של התא,72120
ביוכימיה של התא לתלמידי מדעי החיים,72121
מבוא לביולוגיה של האורגניזם (מצומצם),72126
מבוא לביולוגיה של האורגניזם,72128
מבוא לביולוגיה של התא לתלמידי ביולוגיה,72153
מבוא לביולוגיה לתלמידי מדעים,72160
מבוא למדעי הצמח,72334
מבוא לפיסיולוגיה,72336
תורשת האדם,72350
מבוא למיקרוביולוגיה - שיעור,72362
מבוא לפיסיולוגיה  (מצומצם),72363
ביולוגיה של התא מורחב,72373
אסטרוביולוגיה של כדור הארץ,72582
התנהגות בעלי-חיים,72585
צומח וצמחיית ישראל,72605
מנגנונים עצביים בהתנהגות של בעלי חיים,72625
אימונולוגיה,72665
ביוסטטיסטיקה מתקדמת בדגש חישובי,72942
סמינריון סגל ומוסמך באקולוגיה אבולוציה והתנהגות,90604
מבוא לפלאונטולוגיה,70102
מחנה לימוד קיץ,70110
צפונות ים המלח: מטקטוניקת הפלטות לשינויי אקלים,70120
גאולוגיה סטרוקטורלית,70302
מינרלוגיה אופטית,70307
מבוא למודלים במדעי כדור הארץ,70356
מינרלים סלעים,70417
מבוא ל-G.I.S,70511
עיצוב הנוף,70425
משאבי המים בישראל,70515
התפתחות התשתית הפריקמברית של ישראל - מצומצם - סיור,70619
המים בישראל,70657
פטרולוגיה מאגמתית ומטמורפית ,70702
תהליכים במחזור ההידרולוגי,70849
חימום גלובלי: ממדע למדיניות,70930
"מבוא למודלים במדע כדה""א עם מדע""ח ",70939
כימיה אורגנית סביבתית,89787
נושאים באוקיינוגרפיה פיסיקלית,84810
מבוא לתורת האקלים ,68105
כדור הארץ הדינמי,68127
קורי עכביש: ממדע בסיסי לביוטכנולוגיה,94902
מבוא לסטטיסטיקה ,52003
תיאוריה סט' למדעי המחשב ,52309
